months,years,complex_subgroup,insecticide_class,percentage_mortality,resistance_class,lulc,rainfall,temperature,humidity,population_density
11,2014,Gambiae Complex,carbamate,100,,14,18.13271525,30.140881,6588,46635
9,2014,Gambiae Complex,organophosphate,100,,9,71.373455,29.80682213,6692,27545
9,2010,Gambiae Complex,organophosphate,100,,0,27.39197425,30.1447965,6472,12279
8,2014,Gambiae Complex,pyrethroid,100,,12,12.6941455,29.50161363,6116,12232
9,2014,Gambiae Complex,organophosphate,100,,9,69.0586425,29.81942375,6546,12232
9,2014,Gambiae Complex,organophosphate,100,,9,69.0586425,29.81942375,6546,12232
10,2009,Gambiae Complex,organophosphate,100,,13,3.1735366,30.30953488,4017,11560
10,2009,Gambiae Complex,carbamate,100,,13,3.1735366,30.30953488,4017,11560
9,2012,Funestus Subgroup,organochlorine,100,,10,34.33642085,29.62583738,5850,11560
9,2012,Gambiae Complex,pyrethroid,100,,8,3.7615741,29.5033175,5649,11560
7,2010,Gambiae Complex,carbamate,100,,0,24.73491625,30.04399213,6492,10723
6,2014,Gambiae Complex,carbamate,100,,10,37.4228385,29.93289825,5538,10398
6,2014,Gambiae Complex,organophosphate,100,,10,37.4228385,29.93289825,5538,10398
7,2010,Gambiae Complex,carbamate,100,,0,23.14814875,30.033706,6434,10133
4,2008,Gambiae Complex,organophosphate,100,,14,39.73765425,29.53886838,6253,9943
7,2008,Gambiae Complex,organochlorine,100,,10,86.992235,30.19420463,6359,9943
7,2008,Gambiae Complex,pyrethroid,100,,12,105.473415,30.12628363,6522,9943
10,2005,Gambiae Complex,pyrethroid,100,,13,96.2328225,29.83390013,6953,9603
8,2001,Gambiae Complex,pyrethroid,100,,12,35.3755965,29.47454338,5818,8626
9,2001,Funestus Subgroup,carbamate,100,,10,0.96450617,29.62283163,4556,8626
8,2013,Gambiae Complex,organophosphate,100,,10,60.297195,30.19197313,6208,8626
4,2010,Gambiae Complex,organophosphate,100,,13,97.4151225,29.65471313,6901,8015
4,2010,Gambiae Complex,organophosphate,100,,13,98.283177,29.67854625,6879,8015
6,2010,Gambiae Complex,carbamate,100,,13,63.464505,29.5269855,6943,8015
8,2010,Gambiae Complex,carbamate,100,,13,74.578104,29.4633045,6905,8015
7,2006,Gambiae Complex,organophosphate,100,,11,269.283905,29.891337,6749,7912
7,2006,Gambiae Complex,organophosphate,100,,11,269.283905,29.891337,6749,7912
7,2006,Gambiae Complex,organophosphate,100,,2,73.551375,29.65131588,6799,7912
7,2006,Gambiae Complex,organophosphate,100,,2,73.551375,29.65131588,6799,7912
7,2006,Gambiae Complex,pyrethroid,100,,11,269.283905,29.891337,6749,7912
7,2006,Gambiae Complex,pyrethroid,100,,11,269.283905,29.891337,6749,7912
10,2006,Gambiae Complex,carbamate,100,,10,13.44086075,29.84717363,6068,7912
10,2006,Funestus Subgroup,organochlorine,100,,9,22.308095,29.85478763,5329,7912
10,2006,Funestus Subgroup,carbamate,100,,5,14.56093225,29.840362,5832,7912
10,2006,Funestus Subgroup,organochlorine,100,,5,14.56093225,29.840362,5832,7912
10,2006,Funestus Subgroup,pyrethroid,100,,5,14.56093225,29.840362,5832,7912
10,2006,Funestus Subgroup,pyrethroid,100,,9,22.308095,29.85478763,5329,7912
10,2006,Funestus Subgroup,pyrethroid,100,,8,22.308095,29.85478763,5289,7912
10,2006,Funestus Subgroup,pyrethroid,100,,8,14.84095,29.86583938,5657,7912
10,2006,Funestus Subgroup,organochlorine,100,,8,22.308095,29.85478763,5289,7912
10,2006,Funestus Subgroup,pyrethroid,100,,9,12.78748463,29.85271225,6086,7912
4,2010,Funestus Subgroup,pyrethroid,100,,10,19.6759255,29.710497,6340,7882
2,2012,Funestus Subgroup,carbamate,100,,17,32.327587,29.61297388,5469,7876
2,2012,Funestus Subgroup,organophosphate,100,,17,32.327587,29.61297388,5469,7876
2,2012,Gambiae Complex,organochlorine,100,,10,26.93965425,29.74394913,6194,7876
2,2012,Gambiae Complex,carbamate,100,,10,26.93965425,29.74394913,6194,7876
2,2012,Gambiae Complex,pyrethroid,100,,10,26.93965425,29.74394913,6194,7876
2,2012,Gambiae Complex,organophosphate,100,,10,26.93965425,29.74394913,6194,7876
2,2012,Gambiae Complex,pyrethroid,100,,17,19.6559705,29.87180363,6278,7876
2,2012,Gambiae Complex,organophosphate,100,,9,12.8711685,29.521576,6461,7876
2,2012,Gambiae Complex,organochlorine,100,,10,26.54054825,29.684637,6335,7876
2,2012,Gambiae Complex,carbamate,100,,10,26.54054825,29.684637,6335,7876
2,2012,Gambiae Complex,organophosphate,100,,10,26.54054825,29.684637,6335,7876
2,2012,Gambiae Complex,organochlorine,100,,10,25.4430075,29.72177938,6150,7876
6,2005,Gambiae Complex,organophosphate,100,,13,140.52855,29.9663005,6763,7688
